text,sentiment,category,keyword
"품격있는척 내로남불 버젼은 참 신선하네 

앵커 : 기존 당과의 고민정의 차별화는 무엇이냐

고민정 : 586의 가르치려하는게 문제이다 다름을 인정 못해준다 이런걸 타파하려한다

앵커 : 문정부 시절이 더 심하지 않았냐

고민정 : 느끼지는 못했다 

?????????

앵커가 안물어봤으면 어떡할뻔....",부정,기타,비판
고밀정급이 아닌데? 고구마쪽인데?,부정,기타,비판
저기.. 죄송한데.. 본인도 나이만 좀 적다 싶지 결코 젊거나 그런 감각이 있는 분은 아니세요... 온갖 사진 찍으며 연출해낸 아주 훌륭한 '기성' 정치인이시잖아요.,부정,기타,비판
"고민정의원님
민주당 후보들중 관상이 잴좋아요..
부디 민주당대표대길바림니다..
한달하고 짤리든 ㅣ년하고짤리든
관상이 일단 대야 민주당이삼니다..",중립,기타,관상
웃겨 586에 붙어 기생하는게 고민정 너 아니냐!! ㅋㅋ 아무것도 하지마!! 2년 버티고 평산책방 취업이나 해!! 니입으로 나불거리는 모든말 같잖다!!,부정,기타,조롱
깜냥이 아닌데 여차여차 여기까지 왔네.. 이제 그만 찌그러져라,부정,기타,비판
으~~~징그러~~~~,부정,기타,부정적 감정
죄송한데 안 어리세요..,부정,기타,비판
586 쪽쪽 빨며 콩고물 먹던 애가 뭔 소릴?,부정,기타,비판
"586보고 가르치려 드네 꼰대네 지적하는 지들이 지난 정권 내내 가르치고 혐오 몰이 하고 있었다는 자각 조차 없는것을 보라.
언론이,어딘가의 세력이 갈등을 키웠다고 믿는 이게 민주당의 현실임.",부정,기타,비판
문제인쪽 사람들은 확실히 착하고 선하다 하지만 우리가 필요한 리더가 되지는 못할거 같다 우리대신에 물고 뜯고 우리의 것을 가져올 리더가 필요하다 우린,중립,기타,리더십
고민정은 송영길과 영일이와 선영이와 선한목자교회와 일하며 김수연과 권경자와 최순복과 나지혜와 주사랑교회와 일하며 나상진목사와 원선희사모와 ywca 목사들과 한미전도 다니세요,중립,기타,활동
고민정은.. 진영을 불문하고 선호도가 많이 떨어지는 듯.. 다 싫어함 ㅋㅋ,부정,기타,정치비판
낙연파 잔당,부정,기타,정치비판
"2030  남자들이 제일 싫어 하는 게 문재인이랑 조국, 그리고 너 아니냐 ㅋㅋㅋ 사실상 문재인정권에서 다 떨어져 나갔고 그렇게 꼴페미짓 하면서 갈라치기하더니 박원순 사건때 피해호소인 이라는 희대의 내로남불로 욕처먹은게 너잖아ㅋㅋㅋ",부정,기타,정치비판
586따까리가 참 어이없네,부정,기타,정치비판
고민정 ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ 국힘이나 이준석과 어울리는 사람,부정,기타,정치비판
"친문이라면 먼저 문 정부때의 실정을 사과 하고 시작 하시죠,,,,,,,",부정,기타,정치비판
문재인정부 끝났는데 이제 그만햐,부정,기타,정치비판
"고민정, 자기 중심이 없네. 아쉽다.",부정,기타,정치비판
민주당은 피지컬도 마인드도 젊어져야 한다.,부정,기타,정치비판
고민정 너도 좀 가라 ㅋㅋ,부정,기타,정치비판
친문인 니가 586 이 아니냐?ㅋㅋ,부정,기타,정치 비판
😮이재명 당대표때 맨날 주댕이 나불대다가 공천앞두고 입 쏙  들어가서 얌전히있다가 공천받은후 다시 주댕이 나대는거 보고 오만정이 다떨어짐ㅡ 교활한 기회주의자,부정,기타,정치 비판
이재명 당대표때 맨날 주댕이 나불대다가 공천앞두고 입 쏙  들어가서 얌전히있다가 공천받은후 다시 주댕이 나대는거 보고 오만정이 다떨어짐ㅡ 교활한 기회주의자,부정,기타,정치 비판
맨날 주댕이 나불대다가 공천앞두고 입 쏙  들어가서 얌전히있다가 공천받은후 다시 주댕이 나대는거 보고 오만정이 다떨어짐ㅡ 교활한 기회주의자,부정,기타,정치 비판
😂맨날 주댕이 나불대다가 공천앞두고 입 쏙  들어가서 얌전히있다가 공천받은후 다시 주댕이 나대는거 보고 오만정이 다떨어짐ㅡ 교활한 기회주의자,부정,기타,정치 비판
"일반 국민들이 직장에서 당연히 하는 것을 너네는 왜 못하는 거냐 그렇게 잘난척하면서?
지난 번에 이런 저런 게 부족했습니다. 그건 제가 잘못한 거 같습니다. 그래서 이렇게 바꾸려고 합니다
이런게 있어야 개선이 있지. 자기는 아니고 자기 윗세대만 잘못한 양 잘못을 선배들에게 다 돌리고
나만 뽑아주면 나는 젊으니까 잘할꺼야 하면서 조국이 먼저 입장을 정해서 말하면 합당한다.. 이런 소리 하는데 황당무게함",부정,기타,정치 비판
586들이 함께한 정원오캠프에 너도있지않았냐?,부정,기타,정치 비판
"전혀 젊은 느낌이 안나던데
자기가 몸담았던 정부는 무오류인것처럼 살짝 빠져나가는 모습에서 집단 내로남불감염이라도 된건가 싶었고
여성남성문제를 ""잘 이해시키지 못했다""는 말에서 역시 옳은 길을 우리가 가르쳐주니 닥치고 손해보고 따라라 하는
실은 자신의 이익인데 대중의 이익 혹은 의로움으로까지 확장시켜 강압하는 586꼰대 정신을 그대로 느꼈다.",부정,기타,정치 비판
정청래 까는척 하면서 김민석 표 갉아먹으려고 출마하는거 같은 느낌인데,부정,기타,정치 비판
문재인처럼 호박고구마마냥 답답하다,부정,기타,정치 비판
자기가 뭔데 586을 가라마라? 니가 뭘했는데? 주둥아리 놀림거 말고 탄핵국면에서 뭞했는지 하나도 모르겠다 486이던 586이던 mz던 실력으로 증명해라⁴,부정,기타,비판
사실적시 명예훼손죄는 언제 없앨거냐? 중국인 보호 이딴 법안 말고 좀 제대로 된 법안 내고 일 좀 해라. 민주당도 참 답답하다 ㅉㅉ,부정,기타,비판
분리수거 1순위,중립,기타,정보
저딴 건 이제 버려져야,부정,기타,비판
고민정?????ㅋ,부정,기타,조롱
친문 무능 끝판왕 오랜만에보네 ㅋㅋㅋ,부정,기타,비판
고민정 파이팅,긍정,기타,응원
벼룬데?,중립,기타,질문
고민정씨? 피해호소인이라고 쉴드친 거밖에 생각이 안나!!,부정,기타,비판
저런애부터 짤라야 민주당이 발전함.,부정,기타,비판
586에 무지성 줄서는거 보고 글렀다 싶었다,부정,기타,비판
민정이누나 나이가 50이 다 돼가는데 머가리가 꽃밭이네😂😂,부정,기타,조롱
이런 사람 고밀정 같은 분 때문에 엄한 40대만 영포티라고 조롱당하네,부정,기타,조롱
어디서 쳐 놀다가 기어 나와가지고 당대표?,부정,기타,비판
"2030세대를 들고 나온 거라면 안 맞지 않나... 오리무중, 애매모호하게 답변해서 그냥 기득권 정치인 느낌이 확 나는데... 2030세대 특징의 당당함과 패기, 날 것 그대로의 선명함이 안 보이고... 오히려 선이 분명하고 청년이라는 똑같은 키워드로 들고나온 송영길 후보가 더 낫지 않나 싶네요.",중립,기타,의견
ㅋㅋ 십년동안 꿀 빠는 길 걷다 뭔 도전이란 큰 의미를ㅎ 배현진과 그냥 같은... 그냥 한심할뿐,부정,기타,비판
젊은 민주당을 원하지만 곧 50대인 사람이' 젊은'에 포함되지 않아요,중립,기타,의견
"고밀정 네가 나오니까 더답답하다.
문재인이 오버랩되서 더열받아..
네 답답증 풀려구 국민 답답하게 하면 되겠냐?",부정,기타,비판
완전 4차원이네. 정상이 아닌 것 같다.,부정,기타,비판
"86보다 더 86같은게 본인이라고 아는지…..,",부정,기타,비판
홍명보임????,중립,기타,질문
"고민정이 가장 답답하다 이재명 정부랑 가장 어울리지 않은 사람이다
패미 정부로 이슈만 시킬 사람이다
2030이 왜 분노하는지 전혀 파악하지 못하고 있다
모든 공무원들의 여성혜택을 배제해야한다
일 잘한 사람 뽑아라 그러지 않고는 젋은 사람들의 마음 못돌린다",부정,기타,비판
내로남불에 속하는 고민정,부정,기타,비판
"이래고 고민정이 많이 회자 됐었구나. 옳고 그르고를 차치하고, 똑똑하구나",중립,기타,관찰
당돌 ?,중립,기타,질문
너도  가라,부정,기타,공격
고민정이나 이언주나 주제파악 못하는건 어쩔수가없네~ 민주당도 앞이 훤이 보인다,부정,기타,비판
"얘는 대체 왜 당권 도전하는거니???
젊은정치???
웃기고있네 
나라 말아먹은 문재인 밑에서 편하게 살다가 그 덕에 국회의원되드니 신나게 깝치다가 이제 떨어져나갈 상황이되니 인지도라도 올리고 싶은거니??
그래봤자 차기공천 땡인듯~~~~",부정,기타,비판
이래 다들 무능한 줄 몰랐다....ㅠㅠ,부정,기타,비판
공부하는 586과 공부안하는 79정치인.. 누가 더 이시대에 맞는 정치를 할것인가?,중립,기타,비교
"지금의 2030 남성은 누구보다 약자입니다. 여성에 비해서 월등히요. ""여성의 권리를 더 준다고 남성의 권리가 침해되지 않는다고요?""  1. 여성주차장  2. 여성도서관  3.여성할당제(각종)  4. 여성가점(창업지원금등)  저기서 여성에게 특혜나 자리를 강제 부여하지 않았다면 남자/여자 평등하게 누릴수있는겁니다. 남성에게만 권리를 주는건 오직 대한민국에 ""군대"" 한개입니다. 그것도 역으로 너희 남성들아 나라를 지킬수 있는 권리를 줄게 2년 썩어 거기서. 이런겁니다 : )",중립,기타,사회적 이슈
고민이 없고 콘텐츠도 없다는게 넘 티남,부정,기타,비판
OUT 좀 시키자... 학생운동권 정치인과 함께한 관련자들도 이제 그만 정치 했으면 좋겠습니다.?? 좀 젊어지자...,부정,기타,정치 비판
"고민정 말하는거 보면.. 역시 또 조국당 대변인 같음. . 통합을 논하고, 
조국당한테 달려있다고 하고, 지방선거때 조국당 네거티브로 민주당원들 겁나 화났는데
양쪽 다 잘못했다고 하고.. 조국 대변. 
김어준 방송나와 정청래 등등 조국편들고 민주당 후보 오히려 사퇴 안한다고 지랄한것처럼
그래서 친문, 수박들은 절대 안됨",부정,기타,정치 비판
"나이가 문제가 아님, 친문은 안됨, 무능함.",부정,기타,정치 비판
"* 일베를 규정할 때,,,
1. 단순히 ""나이""로 따진다.
2. 사회를 대하는 ""태도""로 따진다.

* 꼰대(정신)을 규정할 때,,,
1. 단순히 ""나이""로 따진다.
2. 사회를 대하는 ""태도""로 따진다.

* 고민정이 청년(정신을 가진) 정치인인지, 꼰대(정신을 가진)  정치인인지 규정할 때,,,
1. 단순히 ""나이""로 따진다 .
2. 정치적 ""행보""로 따진다.",중립,기타,정치적 태도
고민정이의 말을 못 듣겠더라 민정이의 말은 소음의 반열에 올랐어,부정,기타,비판
고민정은 전방에 서면 안된다... 일반 유권자들이랑 감수성이 다름,부정,기타,정치 비판
젊은정치하고싶은데 조혁당과 헙당 말이야방구야 조당은 20 30 지지율 제로다 정신차려,부정,기타,정치 비판
그냥 문정권에 얼굴마담.. 고밀정..수박..,부정,기타,정치 비판
"문조털래유 빨리 국민들이 정리해주세요.
문재인  정부가 왜 실패했는지 고민정 최강욱 조국 보면 알 수 있습니다.
정말 무능력합니다.
털묻은 정치인들 국민들이 빨리 정리해주세요",부정,기타,정치 비판
진부하다. 나이가 무슨 상관? 옛날사람.,부정,기타,세대 비판
14:16 노재팬했잖아 븅딱앜ㅋㅋㅋㅋㅋㅋ 뭘 생각이 안나 술쳐먹었낰ㅋㅋㅋㅋ,부정,기타,비하
그래서 대법이 왜 지방으로 내려가야 하냐곸ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ그거 내림담에 거기에 집 짓는게 젊은 니 대가리에서 나온 생각인거냨ㅋㅋㅋㅋㅋㅋㅋ 개노답이네 진짜,부정,기타,비하
뺄셈 아니고 덧셈 정치해라 민정아,부정,기타,정치 비판
친문은 무능력이 디폴트임,부정,기타,정치 비판
부동산은 저 말이 맞지 서울대도 세종으로 보낼수 있는 용기와 똘끼가 필요하다,중립,기타,부동산
거 사람들 젊은 의원들 중에 그나마 혼자 나왔는데 안좋게만 보시네 응원도 해줘요,긍정,기타,응원
너도 좀 가세요...,부정,기타,비하
고민정 착각하는게... 나이가 젊지 않아요....,부정,기타,세대 비판
고민정 국회의원 맞나..제대로 시대흐름을 읽고있는 사람맞나.. 현안도 제대로 못보면서..무슨 세대교체냐..답답하다..,부정,기타,정치비판
젠더갈등 얘기하면서  이대남한테 이해를 못시킨게 잘못이라니.. 페미니즘은 선인데 무식한 대중이 이해를 못했네 라는 인식을 보이시네요.,부정,기타,젠더갈등
얜 누구냐?,중립,기타,질문
당신 생각이 전혀 젊지않아! 2030들이 개혐오하는 개꼰대 이념정치 선두주자 조국당을 끌어안고 같이가자?!죽을라면 니혼자 죽던가..  니가 조국당으로가~ 우린 나이가 중요한게 아니라 능력을따진다. 친문 이념정치하는 것들이 싫은이유가 무능력함,부정,기타,정치비판
이러니 개콘이 망했지 ㅋㅋㅋ,부정,기타,개콘비판
니도 가라.,부정,기타,비난
47세 여사님이 갸륵한 표정으로 젊은이 코스프레하는게 기괴함,부정,기타,비판
"생각이 늙었는데 생물학적 나이만 젊으면 뭐하나. ㅉ..,",부정,기타,비판
와 고밀정이 나오네  .....대단하다 얘도 후기는 안보는듯,부정,기타,비판
명팔이 청년팔이는 일단 거르자,부정,기타,비판
지금까지 꽃길정치길만 걸어온 고민정 말로만 청년정치 이러지말고 능력을 입증하세요. 뭐 지금까지 발휘못한 능력을 발휘하기란 쉽지않을듯,부정,기타,정치 비판
문제의식은 있는데 해법은 딱히 없고 자기 객간화는 단 1도 안되보이는 이 모습을 보면서 나잇값하는게 참 쉽지 않구나란걸 깨닳고 갑니다. 동년배라 응원하고 싶은데 너무 대책이 없다..ㅜㅜ,부정,기타,대책 부족
나이가 어리지도 않은 꼰대. 실력 보다 너무 자아비대인 듯,부정,기타,자아비대
"보여줘라..586이 그때 민주화운동하고 뭐라도 해서 이룬것처럼 지금은 돈이 최고라서 가진것도 있는자도 모험도전 안한다. 도전하고 이뤄내지. 않아도 다 알아준다.그러면 될것이다..
인적쇄신 전면교체가 근본 목적을생각해봐라.생각이 유연하지못하고 시대의 흐름 해결능력이 부재라는건데 꼭 교체해서 달라진다는 보장있나? 보장도없지만 또 실패.과정 겪어야 한다고 할것이고 그런 과정을 평소 의정활동을통해서 하면 더 나아질것 아닌가 생각이 든다.
이름도모른 활동 없는 의원들 조용히 밥그릇만 지키는것도 답답하다. .회사 직원으로 빗대면 밥값 더못하는 국호의원은 백수다 ..밥만 축내는..",부정,기타,정치 비판
이름이 민정이라서 밀정이아니에요 정말 몰라서  모르는 그 얼굴을 하는거에요?  그런게  꼰대인거에요    ㅋㅋ 내가ㅜ죽어도  문통들은 안뽑는다!!!,부정,기타,정치 비판
"친문 적통이라는 사람이 2030 청년을 위한다고???
문재인이가 2030 남자 등 돌리게 만들고 반민주당 정서 깊게 깔리게 만들었는데 잊었냐????.
조국사태나젠더 갈등 부동산 폭등으로 청년세대 반민주당으로 만들어놓고 지금와서 청년 위한다고? ㅋㅋㅋㅋ
양심이 없구나 ㅋㅋ
고",부정,기타,청년 비판
그만해라,부정,기타,비판
고민정싫다,부정,기타,비판
그냥 민주당자체가 전부 나갔으면 함ㅋㅋ,부정,기타,정치 비판
재앙이 픽은  어쩜 하나같이  아갈만 살아가지곸ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,부정,기타,정치 비판
고밀정은 가라!!,부정,기타,비판
눈이 재앙이랑 똑같이 변해가넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,중립,기타,잡담
고민정의 대단한 착각... 소위 김영삼 김대중의 40대 기수론에 대해 공부좀해라. 구호만 외친다고 되는게 아니라 그런 행동을 먼저 하고 구호를 외처야지.,부정,기타,비판
당신도 이미 기득권이지.,부정,기타,비판
"586 주사파 부패 무능 빨걩이는 가고,
나 같은 돌머리의 시대가 온다
- 고민 좀 ㅋㅋㅋ",부정,기타,비판
전형적인 상꼰대,부정,기타,비판
민정씨   아파트 동대표도    하기 힘들겠다,부정,기타,비판
친문 까려고 답정너로 불러놓고...정영진 편파방송 좀 그만해라 얍삽한 인간아,부정,기타,비판
고민정은 말만 길고 핵심이 없다. 윤석열이 갑자기 나타난건 문재인 조국 무능력 때문이지 무슨 연대타령이야 대가리에 대체 뭐가 들은거냐,부정,기타,비판
"고밀정 넌, 바보 앵무새잖아",부정,기타,비판
쟤는 메타인지가 전혀 안되네 ㅋㅋㅋㅋㅋㅋㅋ,중립,기타,일반 잡담
"아나운서할 때 정말 좋아했어요. 활짝 웃는 웃음이 얼마나 보기 좋았는지... 
문재인 나빠요! 
고민정을 싫어하기 싫은데...",중립,기타,일반 잡담
"고밀정? 문재인때 누구보다 적극적으로 문재인 팔이하고 .. 지금은 86공격의 선봉장?

정치질할 생각 말고 제발 정치 좀 해라 !",부정,기타,정치 비판
그냥 막 던지는 느낌인데...ㅎㅎ 수도권에 절반 인구가 살고 있어서 대검이 서울에 있는거 아니냐니까... KTX타고 가라는건 뭔 논리야...ㅋㅋ,중립,기타,일반 잡담
고민정 화이팅입니다,긍정,기타,응원
아줌마도 나이 많은거예요 젊은이란 표현 되있길래 2030인줄 알았네,중립,기타,일반 잡담
출마 명분이든 공약이든 이후 행보든 전혀 준비가 안 된 느낌이네,부정,기타,정치 비판
고민정의원은 그간보면 자질과 능력 자체가 너무 부족함,부정,기타,자질 비판
이재명 잡아가라며 체포동의안 가결에 힘쓴 고밀정이를 기억합니다.,부정,기타,정치 비판
오세훈이라는 거물을이긴 이력이 있는 고민정을 끊임없이 프레임으로 대선주자급으로 자라지 못하도록 밟아버린 언론 그리고 계파 지지자들.,부정,기타,언론 비판
기득권 타파한다고 개혁부르짖는데 막상 사장딸이 나온격,부정,연금개혁,개혁 비판
"문재인때 이념정치에 대해서 “그런가요?” 라는 태도를 보이는거면 변화를 기대하긴 힘들듯. 小문재인시대가 열릴뿐이라고 생각함 
문재인의 완고함은 현재 국제정치에 안맞음",부정,기타,정치 비판
피해호소인 나왔네 ㅋ 고민 좀하고 말해라 대본만 읽지말고 고민쫌,부정,기타,비판
고민정의원때문에 민주당이 젊어지기를 바랍니다,긍정,기타,응원
어투가 참 건방지네!,부정,기타,비판
"친문인거 인정안하ㅋㅋㅋ
문재인 참 불쌍하다",부정,기타,비판
난 찬성,긍정,기타,찬성
본인 먼저 물러나야 맞는거 아닐까요?,부정,기타,비판
얘는 머리에 든 것도 없어보인다 ㅋ,부정,기타,비판
고밀전...너도 같이 가라.,부정,기타,비판
고민정씨 고맙습니다. 텅텅텅 빈,중립,기타,감사
"ㅎㅎㅎㅎㅎㅎ
여유로운척 
모든걸 다 아는척 하는게
참 킹받네
아무것도 한게없는게",부정,기타,비판
KTX ㅋㅋㅋ,중립,기타,잡담
웃기네..이재명을 사냥할려고 선동했던애 아녀.지가 왜 나락 갔는지 모르는거야?,부정,기타,비판
"구식 똥차도 타봤는데, 신식 똥차쯤이야. ㅋㅋ 벤츠로 가는 과정이라 생각해. 어렵게 한 보 전진이다~ 😂

고민정이 악플에 기죽지 말고 조금만 더 대담하고 강력하게 밀어붙였으면. 지금은 구식 똥차부터 정리하는 게 급선무. 우열은 나중에~ ㅋ 😂",긍정,기타,응원
주장을 하시려면 좀더 탄탄한 설득이 필요할듯 주장이 너무 막연함,부정,기타,비판
저셋이 아니라해도 다른사람을 찾아보던가해야지 고민정은 아니지 ㅎ,부정,기타,비판
문전대통령같은 말만 하네,부정,기타,비판
아이고 학교라고 경희대 용인캠퍼스 우리나라 기자 아나운서 중에 너보다 학력 떨어지는 사람있냐! 꼴갑을 떨고있네 자고로 지도자는 학력이 어느정도 되어야 한다. 기업하고 정치하고 똑같냐!  바보면서 미쳤구나!,부정,기타,비판
정치 철학 저체가 없어보인대   고민좀 해보세요  신뢰 받으려면 ..... 감정적으로  대처 하는건  아닌거 같아요   이런얘기 하는 저도 꼰대 라고 하시면 ...그리고 스타벅스 조치 는 잘 한겁니다  그걸 방치하먄 안되져,중립,기타,조언
"너가 나설일은 아니야.. 
머리도 나뻐
어릴때부터 줄서기 바뻐
무능력해 
뭐하나 잘난것도 하나 없이 빽으로 지금까지 온것이
나대기는",부정,기타,비판
"고민정은 이재명 당대표 시절에
임종석 공천권 안줬다고~
그날 최고위원 사표내고 똥 뿌렸던거 기억 안나나?
그날 이재명 대통령 페이스북 글이 뭔지나 아나?
오늘은 술한잔 하고 싶다 라고 글 남기셨다~
고민정은 그날 이후로 끝난게 맞다~!!!",부정,기타,비판
고민 좀 하고 살았으면...머리는 여전히  텅 비어서..,부정,기타,비판
들을게  없다,부정,기타,무관심
문재인 가라 해봐~!,부정,기타,비판
문재인의 업적. 윤석열 & 조국 & 고민정,부정,기타,비판
고밀정아웃,부정,기타,비판
다른건 몰라도 고민정보다 신혜원기자가 훨~ 씬 능력있어보인다,부정,기타,비교
고민정님은 더늙었어요.....사상은,부정,기타,비판
얼시구,중립,기타,애매
13:08 정영진이 진짜 날카로운 지적 잘하네.. 문재인 정권만큼 교조적이고 고압적으로 페미니즘 전파하던 정권이 또 있을까? 본인들은 선이고 상대방은 악이고 적폐청산 어쩌고 가장 심한 정권이었는데..,부정,기타,정치 비판
"니는 아입니다~
집에 거울없습니까~ㅉㅉ 
앵커가 많이참는게 보이네 저정도면 지만 모르는기다 ㅠ",부정,기타,비하
무식한 고민정,부정,기타,비하
고민정은 능력이 않되는데 너무 나선다.,부정,기타,비판
페미니즘 여성정책기조들고 2030 외치는건 어떻게 받아들여야되냐,중립,기타,질문
정영진 신혜원  듈다 겁나 날카롭네ㅋㅋㅋ,긍정,기타,응원
"민주당 안망하기 순위 알려준다.

1. 586 686 운동권 청산
2. 친문 무능력자 청산
3. 적폐 미 청산",부정,기타,정치 비판
이잼 체포동의안 가결 유다 반명 고밀정이 왜??  운동권과 가장 밀착된 인간 고 밀 정 ..  386 따까리 고밀정  이제와서 발만 쏙빼게?? 문잰이시켜??  문잰후궁답다 😂,부정,기타,비판
"젊은 에너지가 느껴지는것도 아니고 감각이 젊은것도 아니고 .. 민주당 90년생 권리당원인데 고민정의원님 어떤걸 내세우는지 전혀 모르겠습니다 ㅎㅎ
개인적으로 젊은 감각 있었더라면 방치할게 아니라 적극적으로 네거티브에 맞서는 커뮤니티를 기반으로 정치하는 준스톤같은 사람들과 적극적으로 맞서고 대응해야한다고 봅니다.
뭔 줏대도 없고 자유랍시고 방치하고 방관하는게 젊은 감각이 아님 ..
답답하네여 ㅋㅋ",부정,기타,비판
"깜냥도 안되는데 주제 파악 못하네
국회의원 2번이나 운 좋게하니까 자기가 능력되는줄 아나봐?
니가 그동안 한게 뭐 있니? 에휴 다시는 보지말자 민정씨",부정,기타,비판
웃기고 있네,부정,기타,조롱
순대국이나 드세요 ㅋㅋ,부정,기타,조롱
얕아 얄팍하다,부정,기타,비판
참 얕다. 사람이.,부정,기타,비판
"연대 보다는
국가.. 이재명 정부에 힘 써주세요",중립,기타,정치
"연대?
많이 빠질거 같네요",부정,기타,비판
이해불가!,부정,기타,비판
문재인 때 노재팬 문구 나오는 거 고민정은 모르나?,부정,기타,비판
친문 무능의상징,부정,기타,비판
문씨하고 엮이면 불리한건 아네,부정,기타,비판
무지한데 무지하다는걸 모르는사람,중립,기타,무지
"고민정은 왜 이렇게 말하는 게 밉상이냐, 듣기가 싫으네 ㅠㅠㅠ",부정,기타,비호감
아씨 고민정은 싫어 기회는 충분히 줬다 그만하고 꺼져라,부정,기타,비호감
"진짜 나 옛날에 골수 친노였음
노무현재단에서 엄청 활동하던 아나운서 벌써 있었었음. 그래 문재인 당선되면 이 분이 뭐 좀 하겠다 생각했었지.
근데 난데 없이 이 여자가 대변인이 되었다는 거야. 진짜 나 그 때 충격먹었었음. 이 여잔 뭐지? 되고 나서 신문에 깔리는 건 여지없이 남편 이야기
문재인에게 그대를 보내며...
취직한 일자리 얻은 부인한테 시인 남편이 하는 말. 
내가 친문에서 틀어진 몇 퍼센트는 바로 너일지도.
그 다음엔 그 sns를 장식한 벌꿀오소리 문빛뭐시기 그 많은 우상숭배자들에
크랩으로 망가진 김경수가 툭하면 트윗에 노무현 타령하던 거
진짜 김어준 책을 사며 골수짓 하던게 순간에 다 돌아서던데
친문의 문제는 문재인의 실력을 보여주지 못하고 전술로서 말로 글로 문재인을 우상시 했다는 거고
골수 친노였던 나조차도 노무현 친구 문재인을 그렇게 추앙하는데 질려버렸다는 거!",부정,기타,정치비판
고민정 니 남편이 아팠던 시인이다 말고 니가 지금 정계에 들어올 수 있게한 그 내조도 좀 말해보지. 니 남편 이념가였니? 너네 부부 중국유학도 다녀왔잖아. 안 그래?,부정,기타,비판
말씀 다 좋은데.... 님도 실력이 없으세요.,부정,기타,비판
"고민정아 니가 뜬 그 시초가 뭐니?
니 남편과의 이야기 아니니?
니 남편 정읍출신에 상당한 학생운동 하던 사람 아니니?
니 남편 영향 엄청 받지 않았니? 너 어떻게 성공회대 다니게 되었었니?
아나운서도 남편이 결혼전후는 기억안나는데 엄청 가르쳤다 푸쉬했다? 이런 이야기도 과거에 들었었는데 아니니?
(뭐 이건 AI가 확인까지)니 남편이 586시대급 아니니?
남편 빼면 너 고민정이 여기까지 왔을까?",부정,기타,비판
그간 본인 정치인생 시작부터 지금까지 586한테 혜택받고 꽃길만 걸어와놓고ㅋㅋ 뭐가 어쩌고 저째?,부정,기타,비판
"희대의 명언
대법원 판결이 그렇게 중요합니까?
를 만든 장본인 납셨네",부정,기타,비판
